Source Plant,Chemical,Target Protein,Confidence
Coriander,Linalool,Insulin Receptor Substrate 1,0.539997935295105
Coriander,Linalool,O-GlcNAc Transferase,0.539997935295105
Coriander,Linalool,CD59 Glycoprotein,0.539997935295105
Coriander,Linalool,Glucose-6-phosphatase 2,0.539997935295105
Coriander,Linalool,PPAR-gamma,0.539997935295105
Coriander,Linalool,Protein Kinase B (Akt1),0.539997935295105
Coriander,Linalool,Kir6.2 (Potassium Channel),0.539997935295105
Prickly Pear Cactus,Indicaxanthin,O-GlcNAc Transferase,0.539997935295105
Prickly Pear Cactus,Indicaxanthin,Insulin Receptor,0.539997935295105
Prickly Pear Cactus,Indicaxanthin,Insulin Receptor Substrate 1,0.539997935295105
Prickly Pear Cactus,Indicaxanthin,SUR1 (Sulfonylurea Receptor 1),0.539997935295105
Prickly Pear Cactus,Indicaxanthin,Kir6.2 (Potassium Channel),0.539997935295105
Prickly Pear Cactus,Indicaxanthin,GLUT4 (Glucose Transporter 4),0.539997935295105
Prickly Pear Cactus,Indicaxanthin,GLUT1 (Glucose Transporter 1),0.539997935295105
Coriander,Linalool,SUR1 (Sulfonylurea Receptor 1),0.539997935295105
